No,Sp,Species,Survival,num_seeds,Block,Pot,Pot,Raintype,Density,Composition,Culture,n_BIPI,n_OPCO,n_PHAN,n_DAAE,n_POHY,n_PRCL,n_AGCO,n_LUHY
WW3-2C-C1,C,PHAN,1,1312.5,WW3,2C,WW3_2C,WW,2,C,Mono,0,0,1,0,0,0,0,0
WW3-2C-C2,C,PHAN,1,612.5,WW3,2C,WW3_2C,WW,2,C,Mono,0,0,1,0,0,0,0,0
WW3-2D-D1,D,DAAE,1,344,WW3,2D,WW3_2D,WW,2,D,Mono,0,0,0,1,0,0,0,0
WW3-2D-D2,D,DAAE,0,0,WW3,2D,WW3_2D,WW,2,D,Mono,0,0,0,1,0,0,0,0
WW3-2AC-C,C,PHAN,1,262.5,WW3,2AC,WW3_2AC,WW,2,AC,Co,1,0,0,0,0,0,0,0
WW3-2AD-D,D,DAAE,1,387,WW3,2AD,WW3_2AD,WW,2,AD,Co,1,0,0,0,0,0,0,0
WW3-2BC-C,C,PHAN,1,1925,WW3,2BC,WW3_2BC,WW,2,BC,Co,0,1,0,0,0,0,0,0
WW3-2BD-D,D,DAAE,1,473,WW3,2BD,WW3_2BD,WW,2,BD,Co,0,1,0,0,0,0,0,0
WW3-2CD-C,C,PHAN,1,0,WW3,2CD,WW3_2CD,WW,2,CD,Co,0,0,0,1,0,0,0,0
WW3-2CD-D,D,DAAE,1,129,WW3,2CD,WW3_2CD,WW,2,CD,Co,0,0,1,0,0,0,0,0
WW3-2CE-C,C,PHAN,1,787.5,WW3,2CE,WW3_2CE,WW,2,CE,Co,0,0,0,0,1,0,0,0
WW3-2CF-C,C,PHAN,1,962.5,WW3,2CF,WW3_2CF,WW,2,CF,Co,0,0,0,0,0,1,0,0
WW3-2CG-C,C,PHAN,0,0,WW3,2CG,WW3_2CG,WW,2,CG,Co,0,0,0,0,0,0,1,0
WW3-2CH-C,C,PHAN,1,87.5,WW3,2CH,WW3_2CH,WW,2,CH,Co,0,0,0,0,0,0,0,1
WW3-2DE-D,D,DAAE,1,473,WW3,2DE,WW3_2DE,WW,2,DE,Co,0,0,0,0,1,0,0,0
WW3-2DF-D,D,DAAE,1,258,WW3,2DF,WW3_2DF,WW,2,DF,Co,0,0,0,0,0,1,0,0
WW3-2DG-D,D,DAAE,1,129,WW3,2DG,WW3_2DG,WW,2,DG,Co,0,0,0,0,0,0,1,0
WW3-2DH-D,D,DAAE,1,559,WW3,2DH,WW3_2DH,WW,2,DH,Co,0,0,0,0,0,0,0,1
WW3-4C-C1,C,PHAN,1,875,WW3,4C,WW3_4C,WW,4,C,Mono,0,0,3,0,0,0,0,0
WW3-4C-C2,C,PHAN,1,1312.5,WW3,4C,WW3_4C,WW,4,C,Mono,0,0,3,0,0,0,0,0
WW3-4C-C3,C,PHAN,1,0,WW3,4C,WW3_4C,WW,4,C,Mono,0,0,3,0,0,0,0,0
WW3-4C-C4,C,PHAN,1,437.5,WW3,4C,WW3_4C,WW,4,C,Mono,0,0,3,0,0,0,0,0
WW3-4D-D1,D,DAAE,1,129,WW3,4D,WW3_4D,WW,4,D,Mono,0,0,0,3,0,0,0,0
WW3-4D-D2,D,DAAE,1,86,WW3,4D,WW3_4D,WW,4,D,Mono,0,0,0,3,0,0,0,0
WW3-4D-D3,D,DAAE,1,172,WW3,4D,WW3_4D,WW,4,D,Mono,0,0,0,3,0,0,0,0
WW3-4D-D4,D,DAAE,1,172,WW3,4D,WW3_4D,WW,4,D,Mono,0,0,0,3,0,0,0,0
WW3-4AC-C1,C,PHAN,1,350,WW3,4AC,WW3_4AC,WW,4,AC,Co,2,0,1,0,0,0,0,0
WW3-4AC-C2,C,PHAN,1,175,WW3,4AC,WW3_4AC,WW,4,AC,Co,2,0,1,0,0,0,0,0
WW3-4AD-D1,D,DAAE,1,86,WW3,4AD,WW3_4AD,WW,4,AD,Co,2,0,0,1,0,0,0,0
