Order,Year,Month,Tag,Pre
1,1901,1,190101,355
2,1901,2,190102,268
3,1901,3,190103,1399
4,1901,4,190104,2456
5,1901,5,190105,3121
6,1901,6,190106,615
7,1901,7,190107,2217
8,1901,8,190108,1993
9,1901,9,190109,732
10,1901,10,190110,150
11,1901,11,190111,242
12,1901,12,190112,98
13,1902,1,190201,52
14,1902,2,190202,5
15,1902,3,190203,274
16,1902,4,190204,525
17,1902,5,190205,4430
18,1902,6,190206,1969
19,1902,7,190207,2179
20,1902,8,190208,2687
21,1902,9,190209,158
22,1902,10,190210,206
23,1902,11,190211,1386
24,1902,12,190212,1260
25,1903,1,190301,354
26,1903,2,190302,697
27,1903,3,190303,1421
28,1903,4,190304,1250
29,1903,5,190305,3177
30,1903,6,190306,3983
31,1903,7,190307,1167
32,1903,8,190308,2113
33,1903,9,190309,1288
34,1903,10,190310,114
35,1903,11,190311,198
36,1903,12,190312,46
37,1904,1,190401,28
38,1904,2,190402,54
39,1904,3,190403,1937
40,1904,4,190404,1807
41,1904,5,190405,1620
42,1904,6,190406,2378
43,1904,7,190407,2191
44,1904,8,190408,2285
45,1904,9,190409,1732
46,1904,10,190410,213
47,1904,11,190411,303
48,1904,12,190412,424
49,1905,1,190501,378
50,1905,2,190502,301
51,1905,3,190503,2202
52,1905,4,190504,754
53,1905,5,190505,1256
54,1905,6,190506,3521
55,1905,7,190507,1195
56,1905,8,190508,1576
57,1905,9,190509,1146
58,1905,10,190510,244
59,1905,11,190511,271
60,1905,12,190512,687
61,1906,1,190601,564
62,1906,2,190602,725
63,1906,3,190603,1575
64,1906,4,190604,3319
65,1906,5,190605,3166
66,1906,6,190606,1151
67,1906,7,190607,1923
68,1906,8,190608,358
69,1906,9,190609,2365
70,1906,10,190610,97
71,1906,11,190611,34
72,1906,12,190612,154
73,1907,1,190701,916
74,1907,2,190702,250
75,1907,3,190703,395
76,1907,4,190704,2418
77,1907,5,190705,3191
78,1907,6,190706,1827
79,1907,7,190707,1255
80,1907,8,190708,1797
81,1907,9,190709,1434
82,1907,10,190710,1571
83,1907,11,190711,879
84,1907,12,190712,659
85,1908,1,190801,973
86,1908,2,190802,889
87,1908,3,190803,176
88,1908,4,190804,1389
89,1908,5,190805,808
90,1908,6,190806,2571
91,1908,7,190807,2376
92,1908,8,190808,1998
93,1908,9,190809,1371
94,1908,10,190810,725
95,1908,11,190811,45
96,1908,12,190812,1135
97,1909,1,190901,797
98,1909,2,190902,904
99,1909,3,190903,854
100,1909,4,190904,1389
101,1909,5,190905,3001
102,1909,6,190906,2923
103,1909,7,190907,1200
104,1909,8,190908,1551
105,1909,9,190909,842
106,1909,10,190910,1571
107,1909,11,190911,368
108,1909,12,190912,0
109,1910,1,191001,376
110,1910,2,191002,447
111,1910,3,191003,449
112,1910,4,191004,1249
113,1910,5,191005,987
114,1910,6,191006,2340
115,1910,7,191007,1202
116,1910,8,191008,2450
117,1910,9,191009,1118
118,1910,10,191010,26
119,1910,11,191011,853
120,1910,12,191012,441
121,1911,1,191101,237
122,1911,2,191102,127
123,1911,3,191103,1813
124,1911,4,191104,1768
125,1911,5,191105,4208
126,1911,6,191106,1430
127,1911,7,191107,1222
128,1911,8,191108,2435
129,1911,9,191109,342
130,1911,10,191110,401
131,1911,11,191111,946
132,1911,12,191112,321
133,1912,1,191201,972
134,1912,2,191202,1048
135,1912,3,191203,1875
136,1912,4,191204,1445
137,1912,5,191205,1591
138,1912,6,191206,3396
139,1912,7,191207,906
140,1912,8,191208,2364
141,1912,9,191209,509
142,1912,10,191210,18
143,1912,11,191211,83
144,1912,12,191212,1036
145,1913,1,191301,279
146,1913,2,191302,568
147,1913,3,191303,1665
148,1913,4,191304,1049
149,1913,5,191305,2509
150,1913,6,191306,2948
151,1913,7,191307,1132
152,1913,8,191308,2586
153,1913,9,191309,2408
154,1913,10,191310,386
155,1913,11,191311,315
156,1913,12,191312,989
157,1914,1,191401,69
158,1914,2,191402,1251
159,1914,3,191403,480
160,1914,4,191404,1776
161,1914,5,191405,2550
162,1914,6,191406,2197
163,1914,7,191407,2912
164,1914,8,191408,1316
165,1914,9,191409,1154
166,1914,10,191410,620
167,1914,11,191411,1591
168,1914,12,191412,650
169,1915,1,191501,105
170,1915,2,191502,186
171,1915,3,191503,1314
172,1915,4,191504,654
173,1915,5,191505,2809
174,1915,6,191506,2181
175,1915,7,191507,2174
176,1915,8,191508,1979
177,1915,9,191509,557
178,1915,10,191510,1140
179,1915,11,191511,1090
180,1915,12,191512,245
181,1916,1,191601,369
182,1916,2,191602,421
183,1916,3,191603,543
184,1916,4,191604,1626
185,1916,5,191605,2378
186,1916,6,191606,2967
187,1916,7,191607,996
188,1916,8,191608,1577
189,1916,9,191609,1269
190,1916,10,191610,250
191,1916,11,191611,17
192,1916,12,191612,105
